TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR
2026-08-14,2026-08-14,CM,NSE,STK,18562,INE997Y01027,MITTAL,EQ,,,,,MITTAL LIFE STYLE LIMITED,0.91,0.92,0.9,0.91,0.92,0.92,,0.91,,,152848,138719.13,212,F1,1,,,,,,Cash Only,0.91,0.91,0.91,0.91,0.91,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,759466,INF754K01VW2,ELIQUID,EQ,,,,,EDELAMC - ELIQUID,1043.81,1043.83,1043.81,1043.82,1043.82,1043.4,,1043.82,,,14208,14830477.28,16,F1,1,,,,,,Cash Only,1043.82,1043.82,1043.82,1043.82,1043.82,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,5782,INF769K01HP3,MASPTOP50,EQ,,,,,MIRAEAMC - MASPTOP50,80.72,80.72,80.72,80.72,80.72,80.55,,80.72,,,40028,3231060.16,151,F1,1,,,,,,Cash Only,80.72,80.72,80.72,80.72,80.72,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,21750,INF0R8F01034,LIQUIDCASE,EQ,,,,,ZERODHAAMC - LIQUIDCASE,115.5,115.5,115.48,115.49,115.48,115.43,,115.49,,,17379135,2007167472.31,9226,F1,1,,,,,,Cash Only,115.49000000000001,115.49000000000001,115.49000000000001,115.49000000000001,115.49000000000001,0.0,0.0,Narrow,Neutral,Below CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,3507,INF769K01HF4,MAFANG,EQ,,,,,MIRAEAMC - MAFANG,207.39,207.39,207.39,207.39,207.39,208.59,,207.39,,,84336,17490443.04,392,F1,1,,,,,,Cash Only,207.39,207.39,207.39,207.39,207.39,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,7074,INF769K01HS7,MAHKTECH,EQ,,,,,MIRAEAMC - MAHKTECH,23.41,23.41,23.41,23.41,23.41,23.45,,23.41,,,348941,8168708.81,255,F1,1,,,,,,Cash Only,23.41,23.41,23.41,23.41,23.41,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,764333,INF769K01RJ5,HYBRIDETF,EQ,,,,,MIRAEAMC - HYBRIDETF,10.18,10.18,10.14,10.16,10.16,10.18,,10.16,,,139004,1413291.13,57,F1,1,,,,,,Cash Only,10.16,10.16,10.16,10.16,10.16,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,762523,INE365O01028,ABANSENT,EQ,,,,,ABANS ENTERPRISES LTD.,30.38,30.38,30.38,30.38,30.38,28.94,,30.68,,,14445,438839.1,38,F1,1,,,,,,Cash Only,30.38,30.38,30.38,30.38,30.38,0.0,0.0,Narrow,Neutral,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,23507,INE899L01030,UEL,EQ,,,,,UJAAS ENERGY LIMITED,234.18,234.18,234.18,234.18,234.18,246.5,,234.18,,,2876,673501.68,154,F1,1,,,,,,Cash Only,234.17999999999998,234.18,234.17999999999995,234.18,234.17999999999995,5.684341886080802e-14,2.4273387505682815e-14,Narrow,Bearish,Inside CPR,False,False
2026-08-14,2026-08-14,CM,NSE,STK,4681,INE657B01025,BLUECHIP,EQ,,,,,BLUE CHIP INDIA LIMITED,1.81,1.81,1.81,1.81,1.81,1.78,,2.0,,,32318,58495.58,45,F1,1,,,,,,Cash Only,1.8099999999999998,1.81,1.8099999999999996,1.81,1.8099999999999996,4.440892098500626e-16,2.453531546132943e-14,Narrow,Bearish,Inside CPR,False,False
