TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-08-14,2026-08-14,CM,NSE,STK,758748,INE0PKD01011,MEIL,EQ,,,,,MANGAL ELECTRICAL IND L,272.35,274.85,270.0,272.5,274.85,274.45,,272.41,,,18631,5074825.4,777,F1,1,,,,,,Cash Only,Unclassified,False,272.45,272.425,272.47499999999997,272.47499999999997,272.425,0.049999999999954525,0.018348623853194322,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,17989577.275,Lower,True,Risk Off,True,10.710714285714285,258.049,286.709,0.0046682227409093925,0.2820980906011868,True,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,759867,INE0ILV01024,CAPILLARY,EQ,,,,,CAPILLARY TECHNO INDIA L,536.25,544.8,531.0,538.05,539.0,531.05,,538.01,,,398221,214265646.8,9349,F1,1,,,,,,Cash Only,Unclassified,False,537.9499999999999,537.9,537.9999999999999,537.9999999999999,537.9,0.09999999999990905,0.01858563330543798,Narrow,Bullish,Above CPR,True,False,0.06666666666666667,60,27999034.1,Higher,True,Risk Off,True,35.34999999999999,509.526,518.9305,0.0028288543140002572,7.652608516234494,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,4745,INE084A01016,BANKINDIA,EQ,,,,,BANK OF INDIA,145.0,145.0,143.11,144.1,144.1,144.87,,144.09,,,3859204,556263636.57,32706,F1,1,,,,,,F&O + Cash,Financial Services,True,144.07000000000002,144.055,144.08500000000004,144.08500000000004,144.055,0.03000000000002956,0.020818875780728354,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,1139304003.75,Lower,True,Risk Off,True,2.766428571428569,142.906,143.14350000000002,0.01084430673897274,0.48824864543534263,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,18679,INE495S01016,HPL,EQ,,,,,HPL ELECTRIC & POWER LTD,317.7,320.0,314.7,317.45,317.4,318.4,,317.47,,,93695,29697107.65,2604,F1,1,,,,,,Cash Only,Unclassified,False,317.3833333333334,317.35,317.41666666666674,317.41666666666674,317.35,0.06666666666671972,0.021000682522198683,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,47255990.525,Lower,True,Risk Off,True,8.899999999999993,350.26099999999997,345.231,0.007490636704125817,0.6284305401299172,False,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,14894,INE483A01010,CENTRALBK,EQ,,,,,CENTRAL BANK OF INDIA,31.36,31.48,31.3,31.4,31.4,31.36,,31.4,,,3453194,108391709.22,12257,F1,1,,,,,,Cash Only,Financial Services,True,31.393333333333334,31.39,31.39666666666667,31.39666666666667,31.39,0.006666666666667709,0.021231422505311178,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,291217739.89,Inside,True,Risk Off,True,0.3835714285714286,31.796,32.9769,0.017380509000623448,0.37220160166390337,False,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,9939,INE840Y01029,ONEPOINT,EQ,,,,,ONE POINT ONE SOL LTD,59.2,59.28,57.44,58.38,57.8,59.42,,58.37,,,1176128,68398675.19,5138,F1,1,,,,,,Cash Only,Unclassified,False,58.36666666666667,58.36,58.373333333333335,58.373333333333335,58.36,0.013333333333335418,0.022838871759738637,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,71823724.455,Lower,True,Risk Off,True,2.335,56.918800000000005,55.7689,0.005710206995004461,0.9523131208943932,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,104,INE932X01026,SHAREINDIA,EQ,,,,,SHARE IND. SECURITIES LTD,173.31,178.42,170.4,174.47,173.5,173.31,,174.48,,,509646,88502908.39,5949,F1,1,,,,,,Cash Only,Unclassified,False,174.42999999999998,174.41,174.44999999999996,174.44999999999996,174.41,0.03999999999996362,0.022926577635102665,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,76061031.47,Higher,True,Risk Off,True,6.532857142857141,160.03099999999998,149.3475,0.00612289525475061,1.1635775466035763,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,15141,INE259A01022,COLPAL,EQ,,,,,COLGATE PALMOLIVE LTD.,1985.5,1989.2,1971.3,1981.0,1981.0,1995.5,,1981.0,,,153432,303526789.7,15668,F1,1,,,,,,F&O + Cash,Fast Moving Consumer Goods,True,1980.5,1980.25,1980.75,1980.75,1980.25,0.5,0.025239777889954566,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,652708434.05,Lower,True,Risk Off,True,46.0357142857143,2043.344,2042.2279999999998,0.0108611326609775,0.46502660892037545,False,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,2885,INE002A01018,RELIANCE,EQ,,,,,RELIANCE INDUSTRIES LTD,1317.0,1317.5,1301.5,1310.0,1310.0,1317.0,,1309.99,,,10497358,13733404720.5,138435,F1,1,,,,,,F&O + Cash,Oil Gas & Consumable Fuels,True,1309.6666666666667,1309.5,1309.8333333333335,1309.8333333333335,1309.5,0.3333333333334849,0.025445292620876712,Narrow,Bullish,Above CPR,True,False,0.08333333333333333,60,16733818846.0,Lower,True,Risk Off,True,20.935714285714294,1301.434,1332.95,0.015921755942234005,0.8206975853442319,True,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,761814,INE887D01016,TCC,EQ,,,,,TCC CONCEPT LIMITED,254.7,267.85,251.05,259.55,256.05,254.7,,259.58,,,56180,14514589.0,2422,F1,1,,,,,,Cash Only,Unclassified,False,259.48333333333335,259.45000000000005,259.51666666666665,259.51666666666665,259.45000000000005,0.06666666666660603,0.025685481281682153,Narrow,Bullish,Above CPR,True,False,0.05,60,5719484.375,Higher,True,Risk Off,True,16.939285714285713,311.096,341.79799999999994,0.003935624428979483,2.5377443224503957,False,False,No setup,0,0,0,0
