TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-24,2026-09-24,CM,NSE,STK,4007,INE558D01021,CORALFINAC,EQ,,,,,CORAL INDIA FIN & HOUS LT,32.25,32.25,31.2,31.29,31.75,31.9,,31.29,,,15514,487934.06,104,F1,1,,,,,,Cash Only,Unclassified,False,31.580000000000002,31.725,31.435000000000002,31.725,31.435000000000002,0.28999999999999915,0.9268136784915282,Wide,Bearish,Below CPR,False,False,0.7333333333333333,60,723915.71,Lower,True,Risk Off,False,1.3507142857142862,32.912600000000005,32.7998,0.21470121628767777,0.6740205430822879,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,1156,INE540A01017,GLFL,EQ,,,,,GUJARAT LEASE FINANCING L,5.09,5.33,4.85,5.02,5.33,5.09,,5.02,,,6547,32867.56,26,F1,1,,,,,,Cash Only,Unclassified,False,5.066666666666666,5.09,5.043333333333333,5.09,5.043333333333333,0.046666666666666856,0.9296148738379852,Wide,Bearish,Below CPR,False,False,0.55,60,31992.945,Outside,True,Risk Off,False,0.34928571428571453,5.729799999999999,,0.13360599863667394,1.0273377458686594,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,17357,INE528A01020,GKWLIMITED,EQ,,,,,GKW LIMITED,1602.9,1605.0,1561.4,1561.4,1561.4,1605.0,,1561.4,,,224,358678.1,11,F1,1,,,,,,Cash Only,Unclassified,False,1575.9333333333334,1583.2,1568.6666666666667,1583.2,1568.6666666666667,14.533333333333303,0.9307886085137249,Wide,Bearish,Below CPR,False,False,0.8666666666666667,60,393852.30000000005,Lower,True,Risk Off,False,49.499999999999986,1612.388,1680.535,0.2936026936026931,0.91069190150724,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,11407,INE445C01015,XPROINDIA,EQ,,,,,XPRO INDIA LIMITED,1219.0,1263.5,1184.3,1207.0,1198.8,1223.5,,1206.83,,,68439,83708301.0,5300,F1,1,,,,,,Cash Only,Unclassified,False,1218.2666666666667,1223.9,1212.6333333333332,1223.9,1212.6333333333332,11.266666666666879,0.933443800055251,Wide,Bearish,Below CPR,False,False,0.7,60,65041032.3,Outside,True,Risk Off,False,58.514285714285734,1239.37,1242.236,0.19254557291667024,1.2870075710652582,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,25082,INE040M01013,TREEHOUSE,EQ,,,,,TREE HOUSE EDU LTD,5.94,6.13,5.84,6.07,6.12,5.93,,6.06,,,14428,87006.91,59,F1,1,,,,,,Cash Only,Unclassified,False,6.013333333333333,5.984999999999999,6.041666666666666,6.041666666666666,5.984999999999999,0.05666666666666664,0.9335529928610649,Wide,Bullish,Above CPR,False,False,0.5166666666666667,60,122502.745,Overlapping,True,Risk Off,False,0.3942857142857144,6.1701999999999995,6.7061,0.1437198067632849,0.7102445745195343,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,28960,INE0U3I01011,UNIMECH,EQ,,,,,UNIMECH AEROSPACE N MFG L,1712.0,1758.8,1673.2,1692.3,1698.5,1716.1,,1692.23,,,179298,308144214.6,22411,F1,1,,,,,,Cash Only,Unclassified,False,1708.1000000000001,1716.0,1700.2000000000003,1716.0,1700.2000000000003,15.799999999999727,0.9336406074572905,Wide,Bearish,Below CPR,False,False,0.7333333333333333,60,233271734.6,Lower,True,Risk Off,False,92.72857142857143,1441.7120000000002,1259.0985,0.1703897704513913,1.3209667906331932,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,29962,INE599M01018,JUSTDIAL,EQ,,,,,JUSTDIAL LTD.,693.55,697.55,666.0,672.35,672.0,693.55,,672.41,,,80570,54672678.8,4077,F1,1,,,,,,Cash Only,Unclassified,False,678.6333333333333,681.775,675.4916666666667,681.775,675.4916666666667,6.283333333333303,0.9345331052775047,Wide,Bearish,Below CPR,False,False,0.8166666666666667,60,125342332.0,Lower,True,Risk Off,False,21.157142857142862,695.342,621.9585,0.2969840198064356,0.4361868646260706,False,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend mixed; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,28125,INE115Q01022,IKS,EQ,,,,,INVENTURUS KNOWLEDGE SO L,1920.0,1940.0,1849.0,1868.3,1853.1,1937.8,,1868.22,,,366105,696141012.4,30541,F1,1,,,,,,Cash Only,Information Technology,True,1885.7666666666667,1894.5,1877.0333333333333,1894.5,1877.0333333333333,17.466666666666697,0.93489625149423,Wide,Bearish,Below CPR,False,False,0.8833333333333333,60,260883131.55,Lower,True,Risk Off,False,64.1285714285714,1799.688,1755.022,0.2723694958045599,2.6684017792333954,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,19401,INE02PY01013,BOROLTD,EQ,,,,,BOROSIL LIMITED,263.0,267.9,258.0,259.31,259.0,267.5,,259.32,,,268071,70356584.26,4941,F1,1,,,,,,Cash Only,Unclassified,False,261.7366666666667,262.95,260.52333333333337,262.95,260.52333333333337,2.4266666666666197,0.9358168472741581,Wide,Bearish,Below CPR,False,False,0.8,60,24330691.380000003,Lower,True,Risk Off,False,10.342857142857142,246.9118,239.66280000000003,0.23462246777163454,2.8916804360863173,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,30893,INE00WV01027,CMRGREEN,EQ,,,,,CMR GREEN TECHNOLOGIES L,227.73,227.73,219.91,220.72,221.0,227.73,,220.72,,,411849,91992247.17,12952,F1,1,,,,,,Cash Only,Unclassified,False,222.78666666666666,223.82,221.75333333333333,223.82,221.75333333333333,2.066666666666663,0.9363295880149796,Wide,Bearish,Below CPR,False,False,0.8166666666666667,60,147076402.95999998,Lower,True,Risk Off,False,8.249285714285717,220.50599999999997,,0.2505267411319878,0.625472511691892,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend mixed; participation light,0,0,0,0
